elevation,slope,aspect,tri,lith_score,presence,latitude,longitude
770.19580078125,8.945962905883789,283.4690856933594,3.5284805297851562,0.4,0,47.21993764974766,-117.27424037088795
739.4829711914062,0.33699527382850647,39.82649612426758,0.1360626220703125,0.4,0,36.575820075806824,-116.47541344951097
2106.3203125,12.348785400390625,312.8575439453125,6.767181396484375,0.4,0,38.38649557080655,-119.05581554705368
45.873783111572266,1.1257953643798828,10.912439346313477,0.45901918411254883,0.4,0,45.40580076357752,-122.57127320607515
754.4349975585938,3.8971986770629883,257.8298645019531,1.5827102661132812,0.4,0,47.64198080930955,-117.81742530038927
484.42266845703125,26.199254989624023,112.68463897705078,11.76751708984375,0.4,0,36.10518818858674,-116.93689024716019
1360.3192138671875,0.306927353143692,246.9871368408203,0.1423492431640625,0.4,0,43.16003525594654,-120.25771113617442
1404.88330078125,2.2808947563171387,209.06480407714844,0.919952392578125,0.4,0,43.38647461655355,-120.23781660910582
759.6299438476562,1.3857057094573975,210.5323944091797,0.6141357421875,0.4,0,36.31365499038335,-116.22760700972519
58.46744155883789,2.5751214027404785,322.4541931152344,0.9816765785217285,0.4,0,47.307102333335635,-122.88932118454997
597.760009765625,23.946693420410156,142.2051544189453,10.739913940429688,0.4,0,42.244843242845214,-123.88809237380354
9.056577682495117,0.2449130117893219,260.7784423828125,0.1604388952255249,0.4,0,45.83547935414616,-122.82601244389076
1580.4619140625,11.024773597717285,51.51560592651367,4.568023681640625,0.4,0,43.42771008060178,-117.50739960459507
1448.2918701171875,9.313385009765625,121.14967346191406,3.6554412841796875,0.4,0,43.83915308816946,-120.2517112992129
1763.13623046875,2.633014440536499,345.59515380859375,1.0249176025390625,0.4,0,38.87545988585273,-114.98708269243993
291.2539367675781,18.71143913269043,248.6732940673828,7.998394012451172,0.4,0,48.60306107848304,-123.54705137524437
181.00143432617188,0.23743782937526703,296.3041687011719,0.10383987426757812,0.4,0,35.076537853136585,-119.36313695134282
599.51318359375,11.91494083404541,340.09637451171875,4.285552978515625,0.4,0,36.51204504638682,-114.25447059724277
2213.94921875,14.379864692687988,44.13160705566406,5.98712158203125,0.4,0,39.74424654921059,-114.1362718425252
659.7861938476562,30.432100296020508,289.3524169921875,14.213592529296875,0.4,0,46.23742747963787,-117.01772231365845
1573.1019287109375,0.04574134573340416,341.25146484375,0.03076171875,0.4,0,42.17793186242404,-120.90535874216731
544.9420776367188,1.1678693294525146,60.3745002746582,0.5322494506835938,0.4,0,36.218936705632984,-114.88935838839292
453.4727783203125,3.855168581008911,335.9331359863281,9.583122253417969,0.4,0,36.59343491429344,-114.50050152423111
1508.614990234375,2.6203432083129883,162.68960571289062,2.02471923828125,0.4,0,42.10433916147717,-117.8654699838036
61.69336700439453,5.615280628204346,61.881370544433594,2.165618419647217,0.4,0,48.901086450282804,-123.54932923663361
834.7437744140625,1.3561915159225464,101.82801055908203,0.5738372802734375,0.4,0,36.60252578131922,-116.30922921561807
118.8406982421875,0.2767130732536316,32.24568557739258,0.11573314666748047,0.4,0,44.50233198879669,-122.86571221855682
64.40680694580078,2.5718278884887695,333.7857360839844,1.1415972709655762,0.4,0,47.635796197088176,-122.66106766370571
1705.7315673828125,17.376089096069336,318.09344482421875,6.6776885986328125,0.4,0,36.989680025223066,-117.79650344836794
1470.0150146484375,1.84586501121521,248.5830535888672,0.8070068359375,0.4,0,43.08152551909172,-120.49462245004769
2013.9097900390625,1.4265128374099731,188.7948455810547,0.8822784423828125,0.4,0,39.80454997340312,-114.95706585010004
1756.2847900390625,0.47946301102638245,203.9048614501953,0.202545166015625,0.4,0,38.85539283158753,-114.50329535154239
